Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,김선빈,KIA,0.37,137,529,476,84,176,34,1,5,227,64,5,4,39,4,5,40,10,0.477,0.42,0.897,51,0.382,0.167
2,박건우,두산,0.366,131,543,483,91,177,40,2,20,281,78,5,4,41,2,10,64,15,0.582,0.424,1.006,56,0.353,0.25
3,박민우,NC,0.363,106,452,388,84,141,25,4,3,183,47,3,4,46,0,11,51,8,0.472,0.441,0.913,44,0.356,0.5
4,나성범,NC,0.347,125,561,498,103,173,42,2,24,291,99,0,3,48,10,12,116,8,0.584,0.415,0.999,53,0.345,0
5,박용택,LG,0.344,138,596,509,83,175,23,2,14,244,90,0,9,72,6,6,88,13,0.479,0.424,0.903,51,0.364,0
6,최형우,KIA,0.342,142,629,514,98,176,36,3,26,296,120,0,8,96,8,11,82,15,0.576,0.45,1.026,54,0.368,0
7,김재환,두산,0.34,144,636,544,110,185,34,2,35,328,115,0,4,81,10,7,123,8,0.603,0.429,1.032,56,0.342,0
8,로사리오,한화,0.339,119,510,445,100,151,30,1,37,294,111,0,5,50,4,10,61,12,0.661,0.414,1.075,44,0.373,0.5
9,손아섭,롯데,0.335,144,667,576,113,193,35,4,20,296,80,1,3,83,8,4,96,7,0.514,0.42,0.934,56,0.29,0
10,서건창,키움,0.332,139,615,539,87,179,28,3,6,231,76,2,6,67,1,1,68,11,0.429,0.403,0.832,50,0.365,1
11,이명기,KIA,0.332,115,512,464,79,154,24,4,9,213,63,14,3,28,0,3,57,2,0.459,0.371,0.83,49,0.383,0.429
12,송광민,한화,0.327,117,473,437,71,143,26,0,13,208,75,4,8,21,1,3,88,11,0.476,0.356,0.832,45,0.291,0.25
13,이정후,키움,0.324,144,622,552,111,179,29,8,2,230,47,2,2,60,2,6,67,9,0.417,0.395,0.812,52,0.321,0
14,전준우,롯데,0.321,110,496,455,76,146,27,1,18,229,69,2,2,30,2,7,70,11,0.503,0.37,0.873,44,0.325,1
15,이대호,롯데,0.32,142,608,540,73,173,13,0,34,288,111,0,3,50,8,15,84,22,0.533,0.391,0.924,52,0.341,0
16,버나디나,KIA,0.32,139,621,557,118,178,26,8,27,301,111,3,9,41,2,11,112,9,0.54,0.372,0.912,49,0.331,0
17,최정,SK,0.316,130,527,430,89,136,18,1,46,294,113,0,8,70,10,19,107,8,0.684,0.427,1.111,34,0.388,0
18,안치홍,KIA,0.316,132,545,487,95,154,29,2,21,250,93,6,5,43,1,4,70,19,0.513,0.373,0.886,47,0.319,0
19,러프,삼성,0.315,134,591,515,90,162,38,0,31,293,124,0,4,60,4,12,107,14,0.569,0.396,0.965,46,0.379,0
20,윤석민,KT,0.312,142,586,538,90,168,30,1,20,260,105,0,7,33,0,8,85,24,0.483,0.357,0.84,48,0.331,0.125
21,모창민,NC,0.312,136,527,474,64,148,25,3,17,230,90,3,9,39,2,2,81,6,0.485,0.361,0.846,48,0.338,0.25
22,고종욱,키움,0.312,123,453,426,70,133,24,8,8,197,54,0,2,22,2,3,92,11,0.462,0.349,0.811,32,0.288,0.133
23,구자욱,삼성,0.31,144,647,564,108,175,39,10,21,297,107,0,10,63,1,10,138,1,0.527,0.383,0.91,48,0.352,0
24,김주찬,KIA,0.309,122,478,440,78,136,39,2,12,215,70,2,1,31,0,4,59,17,0.489,0.359,0.848,39,0.322,0.25
25,오재일,두산,0.306,128,466,412,62,126,27,0,26,231,89,1,3,45,0,5,80,5,0.561,0.378,0.939,29,0.315,0.333
26,유한준,KT,0.306,133,497,445,52,136,19,0,13,194,68,2,3,45,2,2,59,10,0.436,0.37,0.806,39,0.362,0.125
27,민병헌,두산,0.304,123,520,447,73,136,21,0,14,199,71,1,6,47,2,19,74,14,0.445,0.389,0.834,44,0.306,0
28,강한울,삼성,0.303,135,448,412,58,125,9,3,0,140,24,9,1,26,0,0,57,4,0.34,0.344,0.684,37,0.24,0.167
29,번즈,롯데,0.303,116,468,423,71,128,38,0,15,211,57,2,3,29,0,11,100,18,0.499,0.361,0.86,36,0.324,0
30,김하성,키움,0.302,141,601,526,90,159,36,3,23,270,114,2,7,58,2,8,65,8,0.513,0.376,0.889,49,0.357,0.333
31,최주환,두산,0.301,129,452,399,65,120,16,6,7,169,57,1,5,38,1,9,58,10,0.424,0.37,0.794,31,0.308,0.2
32,나지완,KIA,0.301,137,551,459,85,138,20,3,27,245,94,0,7,62,0,23,105,10,0.534,0.405,0.939,37,0.294,0.222
33,스크럭스,NC,0.3,115,518,437,91,131,24,0,35,260,111,0,4,65,2,12,134,9,0.595,0.402,0.997,38,0.305,0
34,에반스,두산,0.296,138,581,514,82,152,19,0,27,252,90,0,3,61,0,3,114,15,0.49,0.372,0.862,45,0.291,0.667
35,김문호,롯데,0.292,131,448,390,49,114,17,1,2,139,35,7,1,37,4,13,73,5,0.356,0.372,0.728,29,0.258,0.278
36,나주환,SK,0.291,122,452,419,69,122,24,1,19,205,65,8,1,19,3,5,85,15,0.489,0.329,0.818,38,0.366,0.2
37,최준석,롯데,0.291,125,464,409,43,119,15,0,14,176,82,0,5,49,0,1,89,24,0.43,0.364,0.794,32,0.328,0.4
38,권희동,NC,0.286,141,554,472,72,135,20,2,19,216,86,7,7,51,1,17,90,12,0.458,0.371,0.829,41,0.333,0.2
39,강민호,롯데,0.285,130,515,456,62,130,22,1,22,220,68,0,3,41,6,15,104,15,0.482,0.361,0.843,38,0.27,0.167
40,하주석,한화,0.285,111,470,432,69,123,18,8,11,190,52,9,1,23,0,5,83,6,0.44,0.328,0.768,34,0.313,0.333
41,박해민,삼성,0.284,144,638,570,96,162,25,8,7,224,54,8,9,50,0,1,78,6,0.393,0.338,0.731,49,0.293,0
42,김민성,키움,0.282,133,530,472,59,133,26,1,15,206,78,0,8,43,2,7,93,15,0.436,0.345,0.781,38,0.288,0
43,이승엽,삼성,0.28,135,533,472,65,132,30,5,24,244,87,0,8,47,6,6,85,7,0.517,0.347,0.864,40,0.244,0.167
44,이범호,KIA,0.272,115,447,382,57,104,14,0,25,193,89,0,6,52,3,7,81,9,0.505,0.365,0.87,30,0.317,0.429
45,이원석,삼성,0.265,121,459,411,55,109,20,1,18,185,62,4,6,34,2,4,80,4,0.45,0.323,0.773,27,0.262,0
46,양석환,LG,0.263,132,496,445,62,117,27,3,14,192,83,2,5,38,2,6,93,13,0.431,0.326,0.757,31,0.336,0.167
47,박경수,KT,0.262,131,511,442,62,116,27,1,15,190,66,3,3,57,4,6,118,14,0.43,0.352,0.782,30,0.291,0.5
